movieId,title,genres,year
122896,Pirates of the Caribbean: Dead Men Tell No Tales (2017),(no genres listed),2017
122898,Justice League (2017),Action|Adventure|Sci-Fi,2017
122906,Black Panther (2017),Action|Adventure|Sci-Fi,2017
122912,Avengers: Infinity War - Part I (2018),Action|Adventure|Sci-Fi,2018
122916,Thor: Ragnarok (2017),Action|Adventure|Sci-Fi,2017
122918,Guardians of the Galaxy 2 (2017),Action|Adventure|Sci-Fi,2017
122926,Untitled Spider-Man Reboot (2017),Action|Adventure|Fantasy,2017
143355,Wonder Woman (2017),Action|Adventure|Fantasy,2017
166534,Split (2017),Drama|Horror|Thriller,2017
167064,I Am Not Your Negro (2017),Documentary,2017
167380,A Dog's Purpose (2017),Comedy|Drama,2017
167634,Fist Fight (2017),Comedy,2017
167746,The Lego Batman Movie (2017),Action|Animation|Comedy,2017
168174,Jim Gaffigan: Cinco (2017),Comedy,2017
168218,Kizumonogatari III: Cold Blood (2017),Animation|Fantasy|Mystery,2017
168248,John Wick: Chapter Two (2017),Action|Crime|Thriller,2017
168250,Get Out (2017),Horror,2017
168252,Logan (2017),Action|Sci-Fi,2017
168254,Kong: Skull Island (2017),Action|Adventure|Fantasy,2017
168266,T2: Trainspotting (2017),Crime|Drama,2017
168326,The Big Sick (2017),Comedy|Romance,2017
168366,Beauty and the Beast (2017),Fantasy|Romance,2017
168418,The Boss Baby (2017),Animation|Children|Comedy,2017
168492,Call Me by Your Name (2017),Drama|Romance,2017
168608,Mudbound (2017),Drama,2017
168612,Ghost in the Shell (2017),Action|Drama|Sci-Fi,2017
168632,Bill Burr: Walk Your Way Out (2017),Comedy,2017
168712,Fifty Shades Darker (2017),Drama|Romance,2017
168846,Neal Brennan: 3 Mics (2017),Comedy,2017
169180,American Fable (2017),Thriller,2017
169958,Buster's Mal Heart (2017),Drama|Mystery,2017
169982,Power Rangers (2017),Action|Adventure|Sci-Fi,2017
169984,Alien: Covenant (2017),Action|Horror|Sci-Fi|Thriller,2017
169992,Free Fire (2017),Action|Crime|Drama,2017
170357,Dave Chappelle: The Age of Spin (2017),Comedy,2017
170399,CHiPS (2017),Action|Comedy|Drama,2017
170401,Table 19 (2017),Comedy|Drama,2017
170411,Dave Chappelle: Deep in the Heart of Texas (2017),Comedy,2017
170697,Gifted (2017),Drama,2017
170813,Baywatch (2017),Action|Comedy,2017
170817,Snatched (2017),Action|Comedy,2017
170827,The Mummy (2017),Action|Adventure|Fantasy|Horror|Thriller,2017
170875,The Fate of the Furious (2017),Action|Crime|Drama|Thriller,2017
170897,Sandy Wexler (2017),Comedy,2017
170937,Win It All (2017),Comedy,2017
170939,Captain Underpants: The First Epic Movie (2017),Action|Animation|Children|Comedy,2017
170945,It Comes at Night (2017),Horror|Mystery|Thriller,2017
170957,Cars 3 (2017),Adventure|Animation|Comedy,2017
171023,The Hero (2017),Drama,2017
171251,"Nobody Speak: Hulk Hogan, Gawker and Trials of a Free Press (2017)",Documentary,2017
171759,The Beguiled (2017),Drama|Thriller|Western,2017
171763,Baby Driver (2017),Action|Crime|Thriller,2017
171765,Okja (2017),Action|Adventure|Drama|Sci-Fi,2017
171867,Rough Night (2017),Comedy|Drama,2017
172461,Get Me Roger Stone (2017),Documentary,2017
172547,Despicable Me 3 (2017),Adventure|Animation|Children|Comedy,2017
172705,Tickling Giants (2017),Documentary,2017
173145,War for the Planet of the Apes (2017),Action|Adventure|Drama|Sci-Fi,2017
173197,The Square (2017),Drama,2017
173205,The Meyerowitz Stories (2017),Comedy,2017
173209,War Machine (2017),Comedy|Drama|War,2017
173235,Tokyo Idols (2017),Documentary,2017
173253,Vir Das: Abroad Understanding (2017),Comedy,2017
173255,"Norm Macdonald: Hitler's Dog, Gossip & Trickery (2017)",Comedy,2017
173291,Valerian and the City of a Thousand Planets (2017),Action|Adventure|Sci-Fi,2017
173925,Seven Sisters (2017),Sci-Fi|Thriller,2017
173941,Atomic Blonde (2017),Thriller,2017
174045,Goon: Last of the Enforcers (2017),Comedy,2017
174055,Dunkirk (2017),Action|Drama|Thriller|War,2017
174403,The Putin Interviews (2017),(no genres listed),2017
174681,"Oh, Hello: On Broadway (2017)",Comedy,2017
174727,Good Time (2017),Crime|Drama,2017
174815,The House (2017),Comedy,2017
174909,Logan Lucky (2017),Comedy,2017
175197,The Dark Tower (2017),Fantasy|Horror|Sci-Fi|Western,2017
175199,Annabelle: Creation (2017),Horror,2017
175303,It (2017),Horror,2017
175475,The Emoji Movie (2017),Animation|Children|Comedy,2017
175485,Death Note (2017),Horror|Thriller,2017
175569,Wind River (2017),Action|Crime|Mystery|Thriller,2017
175577,Rory Scovel Tries Stand-Up for the First Time (2017),Comedy,2017
175585,Shot Caller (2017),Action|Crime|Drama|Thriller,2017
175661,The Hitman's Bodyguard (2017),Action|Comedy,2017
175743,Self-criticism of a Bourgeois Dog (2017),Comedy,2017
176051,LEGO DC Super Hero Girls: Brain Drain (2017),Animation,2017
176101,Kingsman: The Golden Circle (2017),Action|Adventure|Comedy,2017
176329,Ari Shaffir: Double Negative (2017),Comedy,2017
176371,Blade Runner 2049 (2017),Sci-Fi,2017
176389,The Nut Job 2: Nutty by Nature (2017),Adventure|Animation|Children|Comedy,2017
176419,Mother! (2017),Drama|Horror|Mystery|Thriller,2017
176423,Icarus (2017),Documentary,2017
176579,Cage Dive (2017),Drama|Horror|Thriller,2017
176751,American Made (2017),Crime|Thriller,2017
176805,Little Boxes (2017),Comedy|Drama,2017
176935,Geostorm (2017),Action,2017
177185,Maz Jobrani: Immigrant (2017),Comedy,2017
177285,Sword Art Online The Movie: Ordinal Scale (2017),Action|Adventure|Animation|Fantasy|Sci-Fi,2017
177593,"Three Billboards Outside Ebbing, Missouri (2017)",Crime|Drama,2017
177615,Lady Bird (2017),Comedy,2017
177763,Murder on the Orient Express (2017),Crime|Drama|Mystery,2017
177765,Coco (2017),Adventure|Animation|Children,2017
177939,"The Night Is Short, Walk on Girl (2017)",Animation|Romance,2017
178061,"I, Tonya (2017)",Drama,2017
178111,"Fireworks, Should We See It from the Side or the Bottom? (2017)",Animation,2017
178323,Gaga: Five Foot Two (2017),Documentary,2017
178827,Paddington 2 (2017),Adventure|Animation|Children|Comedy,2017
179053,2048: Nowhere to Run (2017),Sci-Fi|Thriller,2017
179119,The Death of Stalin (2017),Comedy,2017
179133,Loving Vincent (2017),Animation|Crime|Drama,2017
179135,Blue Planet II (2017),Documentary,2017
179211,Christina P: Mother Inferior (2017),Comedy,2017
179401,Jumanji: Welcome to the Jungle (2017),Action|Adventure|Children,2017
179491,Mayhem (2017),Action|Horror,2017
179709,Wonder Wheel (2017),Drama,2017
179749,Creep 2 (2017),Comedy|Horror,2017
179813,LBJ (2017),Drama,2017
179815,"Roman J. Israel, Esq. (2017)",Drama|Thriller,2017
179817,Darkest Hour (2017),Drama|War,2017
179819,Star Wars: The Last Jedi (2017),Action|Adventure|Fantasy|Sci-Fi,2017
179953,A Bad Moms Christmas (2017),Comedy,2017
180031,The Shape of Water (2017),Adventure|Drama|Fantasy,2017
180045,Molly's Game (2017),Drama,2017
180095,Wonder (2017),Drama,2017
180231,Daddy's Home 2 (2017),Comedy|Drama,2017
180265,Jim & Andy: The Great Beyond (2017),Documentary,2017
180297,The Disaster Artist (2017),Comedy|Drama,2017
180497,The Post (2017),Drama|Thriller,2017
180985,The Greatest Showman (2017),Drama,2017
180987,Ferdinand (2017),Animation|Children|Comedy,2017
181065,Jack Whitehall: At Large (2017),Comedy,2017
181139,Lynne Koplitz: Hormonal Beast (2017),Comedy,2017
181315,Phantom Thread (2017),Drama|Romance,2017
181413,Too Funny to Fail: The Life and Death of The Dana Carvey Show (2017),(no genres listed),2017
